index,x_pixel,y_pixel,cost,real_x,real_y
0,441,413,10,11.5439,17.2415
1,437,416,0,11.3457,17.0929
2,433,420,0,11.1475,16.8947
3,429,424,5,10.9493,16.6965
4,426,428,5,10.8007,16.4983
5,424,432,0,10.7016,16.3001
6,421,436,0,10.5530,16.1020
7,421,440,5,10.5530,15.9038
8,418,444,0,10.4043,15.7056
9,414,448,0,10.2062,15.5074
10,411,452,0,10.0575,15.3093
11,407,455,12,9.8594,15.1606
12,405,459,4,9.7603,14.9624
13,403,463,0,9.6612,14.7643
14,403,467,0,9.6612,14.5661
15,403,471,8,9.6612,14.3679
16,401,475,0,9.5621,14.1697
17,401,479,3,9.5621,13.9716
18,399,483,0,9.4630,13.7734
19,396,487,0,9.3144,13.5752
20,392,490,0,9.1162,13.4266
21,388,493,0,8.9180,13.2779
22,384,496,5,8.7198,13.1293
23,380,500,0,8.5217,12.9311
24,377,504,5,8.3730,12.7329
25,376,508,0,8.3235,12.5348
26,376,512,0,8.3235,12.3366
27,375,516,0,8.2739,12.1384
28,375,520,0,8.2739,11.9402
29,374,524,0,8.2244,11.7421
30,370,526,0,8.0262,11.6430
31,366,526,0,7.8280,11.6430
32,362,529,0,7.6299,11.4943
33,360,533,0,7.5308,11.2962
34,360,537,0,7.5308,11.0980
35,360,541,12,7.5308,10.8998
36,356,540,0,7.3326,10.9493
37,352,542,0,7.1344,10.8503
38,348,545,0,6.9362,10.7016
39,344,548,16,6.7381,10.5530
40,340,547,7,6.5399,10.6025
41,336,545,0,6.3417,10.7016
42,332,546,8,6.1435,10.6521
43,328,549,5,5.9453,10.5034
44,324,553,12,5.7472,10.3053
45,320,553,0,5.5490,10.3053
46,316,555,5,5.3508,10.2062
47,312,555,8,5.1526,10.2062
48,308,555,5,4.9545,10.2062
49,304,554,0,4.7563,10.2557
50,300,551,3,4.5581,10.4043
51,296,550,0,4.3599,10.4539
52,292,551,0,4.1617,10.4043
53,288,549,0,3.9636,10.5034
54,284,551,0,3.7654,10.4043
55,280,552,0,3.5672,10.3548
56,276,552,0,3.3690,10.3548
57,272,552,0,3.1708,10.3548
58,268,556,0,2.9727,10.1566
59,264,556,8,2.7745,10.1566
60,260,559,0,2.5763,10.0080
61,256,560,4,2.3781,9.9584
62,252,562,5,2.1800,9.8594
63,250,566,5,2.0809,9.6612
64,246,567,0,1.8827,9.6116
65,242,569,0,1.6845,9.5125
66,238,569,0,1.4863,9.5125
67,234,568,8,1.2882,9.5621
68,230,566,0,1.0900,9.6612
69,226,566,8,0.8918,9.6612
70,222,567,0,0.6936,9.6116
71,218,567,0,0.4954,9.6116
72,214,569,5,0.2973,9.5125
73,214,568,5,0.2973,9.5621
74,218,565,0,0.4954,9.7107
75,219,561,5,0.5450,9.9089
76,217,557,0,0.4459,10.1071
77,218,553,0,0.4954,10.3053
78,214,549,0,0.2973,10.5034
79,210,545,0,0.0991,10.7016
80,211,541,8,0.1486,10.8998
81,214,537,8,0.2973,11.0980
82,214,533,0,0.2973,11.2962
83,214,529,0,0.2973,11.4943
84,214,525,0,0.2973,11.6925
85,212,521,0,0.1982,11.8907
86,214,517,13,0.2973,12.0889
87,217,513,0,0.4459,12.2870
88,214,509,0,0.2973,12.4852
89,213,505,0,0.2477,12.6834
90,212,501,0,0.1982,12.8816
91,212,497,0,0.1982,13.0798
92,211,493,0,0.1486,13.2779
93,210,489,0,0.0991,13.4761
94,209,485,0,0.0495,13.6743
95,211,481,8,0.1486,13.8725
96,213,477,0,0.2477,14.0706
97,213,473,0,0.2477,14.2688
98,214,469,0,0.2973,14.4670
99,210,465,0,0.0991,14.6652
100,208,461,0,0.0000,14.8634
101,208,457,0,0.0000,15.0615
102,208,453,0,0.0000,15.2597
103,207,449,5,-0.0495,15.4579
104,206,445,5,-0.0991,15.6561
105,205,441,0,-0.1486,15.8542
106,203,437,0,-0.2477,16.0524
107,204,433,0,-0.1982,16.2506
108,202,429,0,-0.2973,16.4488
109,203,425,0,-0.2477,16.6470
110,205,421,0,-0.1486,16.8451
111,205,417,5,-0.1486,17.0433
112,207,413,0,-0.0495,17.2415
113,211,409,5,0.1486,17.4397
114,213,405,0,0.2477,17.6379
115,213,401,0,0.2477,17.8360
116,213,397,0,0.2477,18.0342
117,213,393,9,0.2477,18.2324
118,214,389,3,0.2973,18.4306
119,214,385,0,0.2973,18.6287
120,213,381,0,0.2477,18.8269
121,213,377,12,0.2477,19.0251
122,214,373,16,0.2973,19.2233
123,218,369,0,0.4954,19.4215
124,221,365,0,0.6441,19.6196
125,224,361,0,0.7927,19.8178
126,227,360,0,0.9413,19.8674
127,231,360,0,1.1395,19.8674
128,235,360,0,1.3377,19.8674
129,239,360,0,1.5359,19.8674
130,243,357,5,1.7341,20.0160
131,247,355,0,1.9322,20.1151
132,251,358,0,2.1304,19.9664
133,255,359,13,2.3286,19.9169
134,259,359,0,2.5268,19.9169
135,263,359,0,2.7249,19.9169
136,267,359,0,2.9231,19.9169
137,271,358,5,3.1213,19.9664
138,275,357,0,3.3195,20.0160
139,279,359,7,3.5177,19.9169
140,283,359,0,3.7158,19.9169
141,287,361,0,3.9140,19.8178
142,291,363,8,4.1122,19.7187
143,295,362,0,4.3104,19.7683
144,299,364,5,4.5086,19.6692
145,303,365,0,4.7067,19.6196
146,307,362,0,4.9049,19.7683
147,311,362,0,5.1031,19.7683
148,315,365,0,5.3013,19.6196
149,319,366,3,5.4994,19.5701
150,323,369,12,5.6976,19.4215
151,327,370,0,5.8958,19.3719
152,331,371,0,6.0940,19.3224
153,335,373,10,6.2922,19.2233
154,339,370,0,6.4903,19.3719
155,343,367,3,6.6885,19.5205
156,345,371,0,6.7876,19.3224
157,348,375,12,6.9362,19.1242
158,351,379,4,7.0849,18.9260
159,353,383,0,7.1840,18.7278
160,356,387,10,7.3326,18.5297
161,360,391,5,7.5308,18.3315
162,363,393,0,7.6794,18.2324
163,367,393,0,7.8776,18.2324
164,370,396,8,8.0262,18.0838
165,374,400,0,8.2244,17.8856
166,378,404,0,8.4226,17.6874
167,382,405,5,8.6207,17.6379
168,386,406,5,8.8189,17.5883
169,390,409,0,9.0171,17.4397
170,391,413,12,9.0666,17.2415
171,395,417,0,9.2648,17.0433
172,399,418,0,9.4630,16.9938
173,403,418,0,9.6612,16.9938
174,407,420,0,9.8594,16.8947
175,411,419,12,10.0575,16.9442
176,415,418,5,10.2557,16.9938
177,419,415,0,10.4539,17.1424
178,423,419,5,10.6521,16.9442
179,427,417,8,10.8503,17.0433
180,431,416,0,11.0484,17.0929
181,435,415,0,11.2466,17.1424
182,439,415,10,11.4448,17.1424
183,441,413,10,11.5439,17.2415
